"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"23","ACSL1","ACSL1","ETV5","ACSL1","","ACTB","CEBPB","ETV5","","ETV5","GARS","","SFXN3","GRB10","CDKN1A","FHL2","GRB10","","CEBPB","CDKN2C","","","","","","","",""
"24","ACSL3","ACSL3","FLYWCH1","ACSL3","","ACTR1A","CEBPG","FLYWCH1","","FLYWCH1","GCLC","","SLC12A8","GRPEL2","CDKN2C","FSCN1","GRPEL2","","CEBPG","CEBPG","","","","","","","",""
"25","ACTB","ACTB","FTH1","ACTB","","ADAM17","CEP120","FTH1","","FTH1","GRB10","","SPAG5","GTPBP2","CEBPB","FUBP1","GTPBP2","","CEP120","CEP120","","","","","","","",""
"26","ACTR1A","ACTR1A","GADD45A","ACTR1A","","ADAMTS15","CHAC1","GADD45A","","GADD45A","GRPEL2","","SPOCK1","IFRD1","CEBPG","G3BP2","IFRD1","","CHAC1","CPT1A","","","","","","","",""
"27","ADAM17","ADAM17","GARS","ADAM17","","ADAMTS3","CPT1A","GARS","","GARS","GTPBP2","","SQSTM1","INHBE","CEP120","GABRG1","INHBE","","CPT1A","CTH","","","","","","","",""
"28","ADAMTS15","ADAMTS15","GCLC","ADAMTS15","","ADAMTS8","CTH","GCLC","","GCLC","HCK","","SRXN1","KCNG1","CHAC1","GOT1","KCNG1","","CTH","DDX24","","","","","","","",""
"29","ADAMTS3","ADAMTS3","GDF15","ADAMTS3","","ADAMTSL3","DDIT3","GDF15","","GDF15","IFRD1","","TRIM16L","KIF21B","CPT1A","GPT2","KIF21B","","DDIT3","DHX29","","","","","","","",""
"30","ADAMTS8","ADAMTS8","GRB10","ADAMTS8","","ADAP1","DDX24","GRB10","","GRB10","IK","","UCHL1","KLF4","CTH","GTF3C1","KLF4","","DDX24","DNAJA1","","","","","","","",""
"31","ADAMTSL3","ADAMTSL3","GRPEL2","ADAMTSL3","","ADCY7","DHX29","GRPEL2","","GRPEL2","IL18R1","","WARS","KSR1","DDIT3","HERPUD1","KSR1","","DHX29","DOLK","","","","","","","",""
"32","ADAP1","ADAP1","GTPBP2","ADAP1","","ADD1","DNAJA1","GTPBP2","","GTPBP2","INHBE","","","LMO4","DDX24","HEXIM1","LMO4","","DNAJA1","EIF2S2","","","","","","","",""
"33","ADCY7","ADCY7","HCK","ADCY7","","ADIPOR2","DOLK","HCK","","HCK","KIF20A","","","LONP1","DHX29","HKDC1","LONP1","","DOLK","EIF4EBP1","","","","","","","",""
"34","ADD1","ADD1","IFRD1","ADD1","","ADO","EIF2S2","IFRD1","","IFRD1","KIF21B","","","MTHFD2","DNAJA1","HSPA8","MTHFD2","","EIF2S2","EPRS","","","","","","","",""
"35","ADIPOR2","ADIPOR2","IK","ADIPOR2","","ADRA2A","EIF4EBP1","IK","","IK","KLF4","","","NARS","DOLK","JDP2","NARS","","EIF4EBP1","ETV5","","","","","","","",""
"36","ADM2","ADO","IL18R1","ADO","","ADRBK1","EPRS","IL18R1","","IL18R1","KLHDC8A","","","NUPR1","EIF2S2","KBTBD4","NUPR1","","EPRS","FAM84B","","","","","","","",""
"37","ADO","ADORA1","INHBE","ADORA1","","AEN","ETV5","INHBE","","INHBE","KSR1","","","PCK2","EIF4EBP1","KDM4A","PCK2","","ETV5","FHL2","","","","","","","",""
"38","ADORA1","ADRA2A","KCNG1","ADRA2A","","AFF3","FAM84B","KCNG1","","KCNG1","LMO4","","","PCNXL2","EPRS","KLF15","PCNXL2","","FAM84B","FLYWCH1","","","","","","","",""
"39","ADRA2A","ADRBK1","KIF20A","ADRBK1","","AGA","FHL2","KIF20A","","KIF20A","LONP1","","","PHGDH","ETV5","KLF9","PHGDH","","FHL2","FSCN1","","","","","","","",""
"40","ADRBK1","AEN","KIF21B","AEN","","AGAP1","FLYWCH1","KIF21B","","KIF21B","MAGED1","","","PYCR1","FAM84B","LDHA","PYCR1","","FLYWCH1","FUBP1","","","","","","","",""
"41","AEN","AFF3","KLF4","AFF3","","AGL","FSCN1","KLF4","","KLF4","MGST1","","","RNF41","FHL2","LGR4","RNF41","","FSCN1","G3BP2","","","","","","","",""
"42","AFF3","AGA","KLHDC8A","AGA","","AGPAT9","FUBP1","KLHDC8A","","KLHDC8A","MTHFD2","","","SARS","FLYWCH1","LONRF1","SARS","","FUBP1","GABRG1","","","","","","","",""
"43","AGA","AGAP1","KSR1","AGAP1","","AGTPBP1","G3BP2","KSR1","","KSR1","NARS","","","SCN4A","FSCN1","LUZP1","SCN4A","","G3BP2","GADD45A","","","","","","","",""
"44","AGAP1","AGL","LMO4","AGL","","AGTRAP","GABRG1","LMO4","","LMO4","NQO1","","","SESN2","FUBP1","MID1IP1","SESN2","","GABRG1","GARS","","","","","","","",""
