"h48.45vsD","h48.30vsD","h24.45vsD","h24.30vsD","h8.45vsD","h8.30vsD"
"ABHD11",0.777611587994881,0.777611587994881,0.777611587994881,0.777611587994881,0.777611587994881,0.777611587994881
"ABHD12",0.525759811844664,0.525759811844664,0.525759811844664,0.525759811844664,0.525759811844664,0.525759811844664
"ABHD12B",NA,NA,NA,NA,NA,NA
"ABHD13",0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316
"ABHD14A",1,1,1,1,1,1
"ABHD14A-ACY1",1,1,1,1,1,1
"ABHD14B",5.61353670618629e-08,5.61353670618629e-08,5.61353670618629e-08,5.61353670618629e-08,5.61353670618629e-08,5.61353670618629e-08
"ABHD15",0.805496693869434,0.805496693869434,0.805496693869434,0.805496693869434,0.805496693869434,0.805496693869434
"ABHD16A",1,1,1,1,1,1
"ABHD16B",0.745452686896861,0.745452686896861,0.745452686896861,0.745452686896861,0.745452686896861,0.745452686896861
"ABHD17A",0.0674280401926092,0.0674280401926092,0.0674280401926092,0.0674280401926092,0.0674280401926092,0.0674280401926092
"ABHD17B",0.0367344678392537,0.0367344678392537,0.0367344678392537,0.0367344678392537,0.0367344678392537,0.0367344678392537
"ABHD17C",1,1,1,1,1,1
"ABHD18",0.419463085582044,0.419463085582044,0.419463085582044,0.419463085582044,0.419463085582044,0.419463085582044
"ABHD2",0.39374105877931,0.39374105877931,0.39374105877931,0.39374105877931,0.39374105877931,0.39374105877931
"ABHD3",0.899231306060164,0.899231306060164,0.899231306060164,0.899231306060164,0.899231306060164,0.899231306060164
"ABHD4",0.669933536167925,0.669933536167925,0.669933536167925,0.669933536167925,0.669933536167925,0.669933536167925
"ABHD5",1,1,1,1,1,1
"ABHD6",0.340118110552657,0.340118110552657,0.340118110552657,0.340118110552657,0.340118110552657,0.340118110552657
"ABHD8",0.000137237768136687,0.000137237768136687,0.000137237768136687,0.000137237768136687,0.000137237768136687,0.000137237768136687
"ABI1",0.827529854359556,0.827529854359556,0.827529854359556,0.827529854359556,0.827529854359556,0.827529854359556
"ABI2",4.98874449900059e-06,4.98874449900059e-06,4.98874449900059e-06,4.98874449900059e-06,4.98874449900059e-06,4.98874449900059e-06
"ABI3",NA,NA,NA,NA,NA,NA
"ABI3BP",0.943821907147642,0.943821907147642,0.943821907147642,0.943821907147642,0.943821907147642,0.943821907147642
"ABITRAM",0.0377560137352164,0.0377560137352164,0.0377560137352164,0.0377560137352164,0.0377560137352164,0.0377560137352164
"ABL1",0.000529436252522675,0.000529436252522675,0.000529436252522675,0.000529436252522675,0.000529436252522675,0.000529436252522675
"ABL2",0.227214443335595,0.227214443335595,0.227214443335595,0.227214443335595,0.227214443335595,0.227214443335595
"ABLIM1",0.0265888720285057,0.0265888720285057,0.0265888720285057,0.0265888720285057,0.0265888720285057,0.0265888720285057
"ABLIM2",1,1,1,1,1,1
"ABLIM3",0.170594092514559,0.170594092514559,0.170594092514559,0.170594092514559,0.170594092514559,0.170594092514559
"ABO",0.906684119695594,0.906684119695594,0.906684119695594,0.906684119695594,0.906684119695594,0.906684119695594
"ABR",1.63809733852699e-05,1.63809733852699e-05,1.63809733852699e-05,1.63809733852699e-05,1.63809733852699e-05,1.63809733852699e-05
"ABRA",NA,NA,NA,NA,NA,NA
"ABRACL",0.109247704283497,0.109247704283497,0.109247704283497,0.109247704283497,0.109247704283497,0.109247704283497
"ABRAXAS1",0.0816919701555476,0.0816919701555476,0.0816919701555476,0.0816919701555476,0.0816919701555476,0.0816919701555476
"ABRAXAS1P1",NA,NA,NA,NA,NA,NA
"ABRAXAS2",0.917723760627657,0.917723760627657,0.917723760627657,0.917723760627657,0.917723760627657,0.917723760627657
"ABT1",0.471447006670994,0.471447006670994,0.471447006670994,0.471447006670994,0.471447006670994,0.471447006670994
"ABTB1",0.177269048503912,0.177269048503912,0.177269048503912,0.177269048503912,0.177269048503912,0.177269048503912
"ABTB2",0.00423880251493999,0.00423880251493999,0.00423880251493999,0.00423880251493999,0.00423880251493999,0.00423880251493999
"ABTB3",NA,NA,NA,NA,NA,NA
"ACAA1",0.036694654462999,0.036694654462999,0.036694654462999,0.036694654462999,0.036694654462999,0.036694654462999
"ACAA2",2.43044593583304e-05,2.43044593583304e-05,2.43044593583304e-05,2.43044593583304e-05,2.43044593583304e-05,2.43044593583304e-05
"ACAA2P1",NA,NA,NA,NA,NA,NA
"ACACA",3.52075138541385e-05,3.52075138541385e-05,3.52075138541385e-05,3.52075138541385e-05,3.52075138541385e-05,3.52075138541385e-05
"ACACB",1,1,1,1,1,1
"ACAD10",0.510223264071891,0.510223264071891,0.510223264071891,0.510223264071891,0.510223264071891,0.510223264071891
"ACAD11",3.6185517136995e-09,3.6185517136995e-09,3.6185517136995e-09,3.6185517136995e-09,3.6185517136995e-09,3.6185517136995e-09
"ACAD8",1,1,1,1,1,1
"ACAD9",0.0013742245583426,0.0013742245583426,0.0013742245583426,0.0013742245583426,0.0013742245583426,0.0013742245583426
"ACADL",0.594955311098996,0.594955311098996,0.594955311098996,0.594955311098996,0.594955311098996,0.594955311098996
"ACADM",0.90871377723033,0.90871377723033,0.90871377723033,0.90871377723033,0.90871377723033,0.90871377723033
"ACADS",0.900831667074645,0.900831667074645,0.900831667074645,0.900831667074645,0.900831667074645,0.900831667074645
"ACADSB",0.0220756069280061,0.0220756069280061,0.0220756069280061,0.0220756069280061,0.0220756069280061,0.0220756069280061
"ACADVL",0.701728299693606,0.701728299693606,0.701728299693606,0.701728299693606,0.701728299693606,0.701728299693606
"ACAN",NA,NA,NA,NA,NA,NA
"ACAP1",0.602387952383651,0.602387952383651,0.602387952383651,0.602387952383651,0.602387952383651,0.602387952383651
"ACAP2",2.02904512920817e-08,2.02904512920817e-08,2.02904512920817e-08,2.02904512920817e-08,2.02904512920817e-08,2.02904512920817e-08
"ACAP3",0.126937758598439,0.126937758598439,0.126937758598439,0.126937758598439,0.126937758598439,0.126937758598439
"ACAT1",0.159412456087303,0.159412456087303,0.159412456087303,0.159412456087303,0.159412456087303,0.159412456087303
"ACAT2",3.07292598367175e-10,3.07292598367175e-10,3.07292598367175e-10,3.07292598367175e-10,3.07292598367175e-10,3.07292598367175e-10
"ACBD3",0.426041072287344,0.426041072287344,0.426041072287344,0.426041072287344,0.426041072287344,0.426041072287344
"ACBD3-AS1",NA,NA,NA,NA,NA,NA
"ACBD4",0.808500642970317,0.808500642970317,0.808500642970317,0.808500642970317,0.808500642970317,0.808500642970317
"ACBD5",0.738823173669169,0.738823173669169,0.738823173669169,0.738823173669169,0.738823173669169,0.738823173669169
"ACBD6",0.887682319692584,0.887682319692584,0.887682319692584,0.887682319692584,0.887682319692584,0.887682319692584
"ACBD7",0.000645792989269489,0.000645792989269489,0.000645792989269489,0.000645792989269489,0.000645792989269489,0.000645792989269489
"ACCS",0.852159566965415,0.852159566965415,0.852159566965415,0.852159566965415,0.852159566965415,0.852159566965415
"ACD",1.47770922525312e-05,1.47770922525312e-05,1.47770922525312e-05,1.47770922525312e-05,1.47770922525312e-05,1.47770922525312e-05
"ACE",0.831592779065641,0.831592779065641,0.831592779065641,0.831592779065641,0.831592779065641,0.831592779065641
"ACE2",1,1,1,1,1,1
"ACE2-DT",NA,NA,NA,NA,NA,NA
"ACER2",1,1,1,1,1,1
"ACER3",0.104383324187687,0.104383324187687,0.104383324187687,0.104383324187687,0.104383324187687,0.104383324187687
"ACHE",0.514960808450641,0.514960808450641,0.514960808450641,0.514960808450641,0.514960808450641,0.514960808450641
"ACIN1",0.03485129919875,0.03485129919875,0.03485129919875,0.03485129919875,0.03485129919875,0.03485129919875
"ACKR2",1,1,1,1,1,1
"ACKR3",0.73879265797691,0.73879265797691,0.73879265797691,0.73879265797691,0.73879265797691,0.73879265797691
"ACKR4",NA,NA,NA,NA,NA,NA
"ACLY",0.211863409578358,0.211863409578358,0.211863409578358,0.211863409578358,0.211863409578358,0.211863409578358
"ACMSD",NA,NA,NA,NA,NA,NA
"ACO1",0.284254035875564,0.284254035875564,0.284254035875564,0.284254035875564,0.284254035875564,0.284254035875564
"ACO2",0.884517489841482,0.884517489841482,0.884517489841482,0.884517489841482,0.884517489841482,0.884517489841482
"ACOT1",0.652936231740986,0.652936231740986,0.652936231740986,0.652936231740986,0.652936231740986,0.652936231740986
"ACOT11",0.84868366984159,0.84868366984159,0.84868366984159,0.84868366984159,0.84868366984159,0.84868366984159
"ACOT12",NA,NA,NA,NA,NA,NA
"ACOT13",0.000148602605895787,0.000148602605895787,0.000148602605895787,0.000148602605895787,0.000148602605895787,0.000148602605895787
"ACOT2",0.00035549173114106,0.00035549173114106,0.00035549173114106,0.00035549173114106,0.00035549173114106,0.00035549173114106
"ACOT4",0.749852886728164,0.749852886728164,0.749852886728164,0.749852886728164,0.749852886728164,0.749852886728164
"ACOT6",NA,NA,NA,NA,NA,NA
"ACOT7",0.382803092909815,0.382803092909815,0.382803092909815,0.382803092909815,0.382803092909815,0.382803092909815
"ACOT8",0.752590201880406,0.752590201880406,0.752590201880406,0.752590201880406,0.752590201880406,0.752590201880406
"ACOT9",0.447671545750868,0.447671545750868,0.447671545750868,0.447671545750868,0.447671545750868,0.447671545750868
"ACOX1",1,1,1,1,1,1
"ACOX2",1,1,1,1,1,1
"ACOX3",0.987804589398127,0.987804589398127,0.987804589398127,0.987804589398127,0.987804589398127,0.987804589398127
"ACOXL",0.7140415440403,0.7140415440403,0.7140415440403,0.7140415440403,0.7140415440403,0.7140415440403
"ACOXL-AS1",0.975255697237746,0.975255697237746,0.975255697237746,0.975255697237746,0.975255697237746,0.975255697237746
"ACP1",0.00357052248815288,0.00357052248815288,0.00357052248815288,0.00357052248815288,0.00357052248815288,0.00357052248815288
"ACP2",1,1,1,1,1,1
"ACP3",0.0927519030187502,0.0927519030187502,0.0927519030187502,0.0927519030187502,0.0927519030187502,0.0927519030187502
"ACP4",NA,NA,NA,NA,NA,NA
"ACP5",1,1,1,1,1,1
"ACP6",0.00096807275645481,0.00096807275645481,0.00096807275645481,0.00096807275645481,0.00096807275645481,0.00096807275645481
"ACP7",0.462727911220471,0.462727911220471,0.462727911220471,0.462727911220471,0.462727911220471,0.462727911220471
"ACR",NA,NA,NA,NA,NA,NA
"ACRBP",0.263228297170794,0.263228297170794,0.263228297170794,0.263228297170794,0.263228297170794,0.263228297170794
"ACRP1",NA,NA,NA,NA,NA,NA
"ACRV1",NA,NA,NA,NA,NA,NA
"ACSBG1",0.0905765643508824,0.0905765643508824,0.0905765643508824,0.0905765643508824,0.0905765643508824,0.0905765643508824
"ACSBG2",NA,NA,NA,NA,NA,NA
"ACSF2",0.00315713417942814,0.00315713417942814,0.00315713417942814,0.00315713417942814,0.00315713417942814,0.00315713417942814
"ACSF3",0.00127371134453259,0.00127371134453259,0.00127371134453259,0.00127371134453259,0.00127371134453259,0.00127371134453259
"ACSL1",0.00599640170401528,0.00599640170401528,0.00599640170401528,0.00599640170401528,0.00599640170401528,0.00599640170401528
"ACSL3",2.3928087381313e-32,2.3928087381313e-32,2.3928087381313e-32,2.3928087381313e-32,2.3928087381313e-32,2.3928087381313e-32
"ACSL4",0.643716010411383,0.643716010411383,0.643716010411383,0.643716010411383,0.643716010411383,0.643716010411383
"ACSL5",0.936710812577397,0.936710812577397,0.936710812577397,0.936710812577397,0.936710812577397,0.936710812577397
"ACSL6",NA,NA,NA,NA,NA,NA
"ACSM1",NA,NA,NA,NA,NA,NA
"ACSM3",0.228731335628026,0.228731335628026,0.228731335628026,0.228731335628026,0.228731335628026,0.228731335628026
"ACSM5",NA,NA,NA,NA,NA,NA
"ACSM6",NA,NA,NA,NA,NA,NA
"ACSS1",0.935349369525355,0.935349369525355,0.935349369525355,0.935349369525355,0.935349369525355,0.935349369525355
"ACSS2",2.8486670788227e-08,2.8486670788227e-08,2.8486670788227e-08,2.8486670788227e-08,2.8486670788227e-08,2.8486670788227e-08
"ACSS3",0.600621705642844,0.600621705642844,0.600621705642844,0.600621705642844,0.600621705642844,0.600621705642844
"ACTA1",NA,NA,NA,NA,NA,NA
"ACTA2",1,1,1,1,1,1
"ACTA2-AS1",NA,NA,NA,NA,NA,NA
"ACTB",4.40006907012201e-06,4.40006907012201e-06,4.40006907012201e-06,4.40006907012201e-06,4.40006907012201e-06,4.40006907012201e-06
"ACTBL2",0.784095293143863,0.784095293143863,0.784095293143863,0.784095293143863,0.784095293143863,0.784095293143863
"ACTBP1",NA,NA,NA,NA,NA,NA
"ACTBP14",NA,NA,NA,NA,NA,NA
"ACTC1",0.643583817008709,0.643583817008709,0.643583817008709,0.643583817008709,0.643583817008709,0.643583817008709
"ACTG1",0.00719837688752364,0.00719837688752364,0.00719837688752364,0.00719837688752364,0.00719837688752364,0.00719837688752364
"ACTG1P12",NA,NA,NA,NA,NA,NA
"ACTG1P14",NA,NA,NA,NA,NA,NA
"ACTG1P15",NA,NA,NA,NA,NA,NA
"ACTG1P16",NA,NA,NA,NA,NA,NA
"ACTG1P17",NA,NA,NA,NA,NA,NA
"ACTG1P24",NA,NA,NA,NA,NA,NA
"ACTG1P25",NA,NA,NA,NA,NA,NA
"ACTG2",0.465622149915692,0.465622149915692,0.465622149915692,0.465622149915692,0.465622149915692,0.465622149915692
"ACTL10",0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353
"ACTL11P",NA,NA,NA,NA,NA,NA
"ACTL6A",7.39885933576481e-05,7.39885933576481e-05,7.39885933576481e-05,7.39885933576481e-05,7.39885933576481e-05,7.39885933576481e-05
"ACTL7A",NA,NA,NA,NA,NA,NA
"ACTL7B",NA,NA,NA,NA,NA,NA
"ACTL8",NA,NA,NA,NA,NA,NA
"ACTMAP",0.00650476948745497,0.00650476948745497,0.00650476948745497,0.00650476948745497,0.00650476948745497,0.00650476948745497
"ACTN1",0.00749891888611858,0.00749891888611858,0.00749891888611858,0.00749891888611858,0.00749891888611858,0.00749891888611858
"ACTN1-DT",NA,NA,NA,NA,NA,NA
"ACTN2",NA,NA,NA,NA,NA,NA
"ACTN3",NA,NA,NA,NA,NA,NA
"ACTN4",1,1,1,1,1,1
"ACTN4P1",NA,NA,NA,NA,NA,NA
"ACTR10",0.594787661297851,0.594787661297851,0.594787661297851,0.594787661297851,0.594787661297851,0.594787661297851
"ACTR1A",4.37262473432488e-12,4.37262473432488e-12,4.37262473432488e-12,4.37262473432488e-12,4.37262473432488e-12,4.37262473432488e-12
"ACTR1AP1",NA,NA,NA,NA,NA,NA
"ACTR1B",0.734824966192985,0.734824966192985,0.734824966192985,0.734824966192985,0.734824966192985,0.734824966192985
"ACTR2",5.81839080539789e-07,5.81839080539789e-07,5.81839080539789e-07,5.81839080539789e-07,5.81839080539789e-07,5.81839080539789e-07
"ACTR3",8.13229630774816e-05,8.13229630774816e-05,8.13229630774816e-05,8.13229630774816e-05,8.13229630774816e-05,8.13229630774816e-05
"ACTR3B",0.749848076264495,0.749848076264495,0.749848076264495,0.749848076264495,0.749848076264495,0.749848076264495
"ACTR3C",NA,NA,NA,NA,NA,NA
"ACTR5",0.149911888337079,0.149911888337079,0.149911888337079,0.149911888337079,0.149911888337079,0.149911888337079
"ACTR6",0.133871526979535,0.133871526979535,0.133871526979535,0.133871526979535,0.133871526979535,0.133871526979535
"ACTR8",0.00147715915743658,0.00147715915743658,0.00147715915743658,0.00147715915743658,0.00147715915743658,0.00147715915743658
"ACTRT3",0.000331379813527427,0.000331379813527427,0.000331379813527427,0.000331379813527427,0.000331379813527427,0.000331379813527427
"ACVR1",0.0110168428281637,0.0110168428281637,0.0110168428281637,0.0110168428281637,0.0110168428281637,0.0110168428281637
"ACVR1B",0.0385375733076565,0.0385375733076565,0.0385375733076565,0.0385375733076565,0.0385375733076565,0.0385375733076565
"ACVR1C",1,1,1,1,1,1
"ACVR2A",0.21462058054529,0.21462058054529,0.21462058054529,0.21462058054529,0.21462058054529,0.21462058054529
"ACVR2B",0.0388559731987668,0.0388559731987668,0.0388559731987668,0.0388559731987668,0.0388559731987668,0.0388559731987668
"ACVR2B-AS1",0.811498839942049,0.811498839942049,0.811498839942049,0.811498839942049,0.811498839942049,0.811498839942049
"ACVRL1",0.614750261005448,0.614750261005448,0.614750261005448,0.614750261005448,0.614750261005448,0.614750261005448
"ACY1",0.987100267159894,0.987100267159894,0.987100267159894,0.987100267159894,0.987100267159894,0.987100267159894
"ACY3",NA,NA,NA,NA,NA,NA
"ACYP1",0.579249500500291,0.579249500500291,0.579249500500291,0.579249500500291,0.579249500500291,0.579249500500291
"ACYP2",0.669996255064248,0.669996255064248,0.669996255064248,0.669996255064248,0.669996255064248,0.669996255064248
"ADA",0.840263428900387,0.840263428900387,0.840263428900387,0.840263428900387,0.840263428900387,0.840263428900387
"ADA2",NA,NA,NA,NA,NA,NA
"ADAD2",NA,NA,NA,NA,NA,NA
"ADAL",0.231241747516882,0.231241747516882,0.231241747516882,0.231241747516882,0.231241747516882,0.231241747516882
"ADAM10",0.734524175358454,0.734524175358454,0.734524175358454,0.734524175358454,0.734524175358454,0.734524175358454
"ADAM11",0.874044348216466,0.874044348216466,0.874044348216466,0.874044348216466,0.874044348216466,0.874044348216466
"ADAM12",0.0262228777240864,0.0262228777240864,0.0262228777240864,0.0262228777240864,0.0262228777240864,0.0262228777240864
"ADAM15",0.00160655798986433,0.00160655798986433,0.00160655798986433,0.00160655798986433,0.00160655798986433,0.00160655798986433
"ADAM17",8.31141688249998e-05,8.31141688249998e-05,8.31141688249998e-05,8.31141688249998e-05,8.31141688249998e-05,8.31141688249998e-05
"ADAM19",0.895640123465493,0.895640123465493,0.895640123465493,0.895640123465493,0.895640123465493,0.895640123465493
"ADAM1B",NA,NA,NA,NA,NA,NA
"ADAM2",NA,NA,NA,NA,NA,NA
"ADAM20",NA,NA,NA,NA,NA,NA
"ADAM20P1",NA,NA,NA,NA,NA,NA
"ADAM21",0.904208732669285,0.904208732669285,0.904208732669285,0.904208732669285,0.904208732669285,0.904208732669285
"ADAM22",0.927887001747926,0.927887001747926,0.927887001747926,0.927887001747926,0.927887001747926,0.927887001747926
"ADAM23",1,1,1,1,1,1
"ADAM28",1,1,1,1,1,1
"ADAM29",NA,NA,NA,NA,NA,NA
"ADAM30",NA,NA,NA,NA,NA,NA
"ADAM32",0.74355847122656,0.74355847122656,0.74355847122656,0.74355847122656,0.74355847122656,0.74355847122656
"ADAM33",NA,NA,NA,NA,NA,NA
"ADAM8",0.179690376231784,0.179690376231784,0.179690376231784,0.179690376231784,0.179690376231784,0.179690376231784
"ADAM9",0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353,0.985082502887353
"ADAMTS1",0.85073531260607,0.85073531260607,0.85073531260607,0.85073531260607,0.85073531260607,0.85073531260607
"ADAMTS10",0.0123386276464186,0.0123386276464186,0.0123386276464186,0.0123386276464186,0.0123386276464186,0.0123386276464186
"ADAMTS12",1,1,1,1,1,1
"ADAMTS13",0.270794730963948,0.270794730963948,0.270794730963948,0.270794730963948,0.270794730963948,0.270794730963948
"ADAMTS14",0.274555367461982,0.274555367461982,0.274555367461982,0.274555367461982,0.274555367461982,0.274555367461982
"ADAMTS15",7.68703669041337e-05,7.68703669041337e-05,7.68703669041337e-05,7.68703669041337e-05,7.68703669041337e-05,7.68703669041337e-05
"ADAMTS16",1,1,1,1,1,1
"ADAMTS16-DT",NA,NA,NA,NA,NA,NA
"ADAMTS17",NA,NA,NA,NA,NA,NA
"ADAMTS18",NA,NA,NA,NA,NA,NA
"ADAMTS19",NA,NA,NA,NA,NA,NA
"ADAMTS19-AS1",NA,NA,NA,NA,NA,NA
