"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",36.8912619716347,0.406964048263724,0.246444117511942,11.0589660831916,0.198380434269378,0.432907034981173
"A1BG-AS1",63.9996640015911,0.271155631826342,0.255553013136211,10.7987909660649,0.213362683360869,0.457040924408946
"A1CF",0.610743711001956,-2.3205993958229,3.46868138834354,1.52334761774942,0.992313286627042,NA
"A2M",0.832485854014663,-0.0382548646834076,2.70670827681612,3.95617080819468,0.861056061837201,NA
"A2M-AS1",3.68573549528671,-0.14156335965759,0.794346532418603,2.27782723587077,0.971287815847034,NA
"A2ML1",14.0969496519968,0.811343623543116,0.628763179071375,8.49183944707318,0.386956661411389,0.679522143418316
"A3GALT2",0.0569704165785446,-0.0382997332717694,7.26083161659083,0.166377631332544,0.999998132820661,NA
"A4GALT",44.6851383138981,0.71058887047137,0.52185653382569,7.79108069179046,0.454139692328304,0.750113981542998
"A4GNT",0.979042801507373,-1.56868825836499,1.9982081745845,4.606140833764,0.7987225189842,NA
"AAAS",932.502971811497,-0.176595682637389,0.10434959366519,8.39128673160252,0.396210569283908,0.689506476694511
"AACS",1110.02700163859,-0.212105831739165,0.0756099322003207,23.9159956393877,0.00236729804933823,0.011304954066234
"AACSP1",0.427414058421708,1.82264704951373,3.61449516329579,1.43414701844874,0.993748153072161,NA
"AADAC",3.12936568569802,-3.63088536522193,1.49345770821811,11.1753802630332,0.191958567122755,NA
"AADACL2",1.73280373547322,0.00441674045366195,2.22279089900232,3.20886651836176,0.920574301118708,NA
"AADACL3",0.103805699013823,-0.999843618530615,7.26083161661139,0.349814481299795,0.999966082030914,NA
"AADACP1",6.51052286699503,-3.66321137852351,1.83632132702767,6.76743388269531,0.561920182266322,0.849172222270797
"AADAT",113.822858764418,-0.584050289872593,0.262947833705088,10.7229429941109,0.21789713057747,0.463682518667744
"AAGAB",1636.62608797276,0.207431370515958,0.0644594498968549,27.3464599685108,0.000615883078570441,0.0034121214615205
"AAK1",1000.2990722712,0.420293666535108,0.117491444972895,30.3283767850402,0.000184904938209241,0.00115711640834337
"AAMDC",921.288370282966,-0.120244982966814,0.112982401520764,7.49360102020603,0.484428924114589,0.78013784963875
"AAMP",4363.4452811589,-0.109531388524156,0.0643892632866488,8.79078810146643,0.360251203160356,0.650488709963316
"AANAT",4.42485327657848,-0.917757569646255,0.810120471395298,2.45484721899837,0.963803228402515,1
"AAR2",1290.92323264611,-0.0189013169873899,0.0712519509170114,15.2919353030533,0.0537114330610784,0.15766166299607
