"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"KLHDC8A" 427.009657634838 -0.879125389818035 0.141872494698869 -6.19658794105241 5.77002971682205e-10 1.93685150280922e-06
"KIF21B" 116.852155352463 1.66334695599259 0.269479733818194 6.17243802502335 6.72448904438874e-10 2.09400588842265e-06
"CTH" 647.308951896805 1.34111676816088 0.219906079005189 6.09858888043398 1.07008892936078e-09 3.1989666489883e-06
"CEBPG" 2840.44653274298 0.841168580448182 0.138621762776868 6.06808457487421 1.2944473886073e-09 3.58303037166499e-06
"ETV5" 776.850402905482 1.19803642933586 0.197263877072421 6.07326818835678 1.25332876468449e-09 3.58303037166499e-06
"GDF15" 4021.14099672264 2.43435894479018 0.40243934938834 6.04900825053542 1.45740196705475e-09 3.89001405035014e-06
"STC2" 3034.07454048742 1.142237930192 0.189976020900996 6.01253739695531 1.82641680307557e-09 4.65306309999624e-06
"TUBE1" 240.929996111439 0.924735800666109 0.153894216845913 6.0089054651872 1.86779989563112e-09 4.65306309999624e-06
"GCLC" 1251.40808680064 1.12917935899975 0.188971940804057 5.97538107612804 2.29552947030893e-09 5.53415130622607e-06
"FTH1" 78751.9619051675 0.583265571065221 0.097929773006171 5.95595755162699 2.5855343939347e-09 6.0385155770345e-06
"EIF4EBP1" 2473.2327515557 0.937530709347673 0.158234921030309 5.92492923333967 3.12431904827596e-09 7.07573055733189e-06
"GARS" 4925.39787061828 0.82104944241649 0.141728145199866 5.79312910120032 6.90869583052463e-09 1.51861262232379e-05
"SARS" 4499.21962717913 0.73577662344035 0.12753718316325 5.76911458439962 7.96891086384667e-09 1.70161292091556e-05
"SPOCK1" 923.980892827755 0.554587766719008 0.0963114378462016 5.75827522796017 8.4977722413612e-09 1.76413751730659e-05
"SLC7A5" 29484.1388733725 0.93578888150793 0.163755783642662 5.71453942384074 1.10001545712839e-08 2.22191230280938e-05
"SCN4A" 71.004691498983 2.22531756561419 0.391659430703782 5.68176683915274 1.3331032059974e-08 2.62186318956373e-05
"ADM2" 365.149024637954 1.91400037025176 0.344433953131235 5.55694452550818 2.74537965413594e-08 5.26099214952573e-05
"PYCR1" 1819.60184144037 0.912532768747927 0.164730499156229 5.53954958809715 3.03250571640974e-08 5.57790058979351e-05
"SHMT2" 6927.70867798921 0.607542120514045 0.109704894708836 5.5379673088106 3.06002360551185e-08 5.57790058979351e-05
"RNF41" 1436.59702320532 0.57862617444747 0.104588743912232 5.53239433617289 3.15888738869726e-08 5.62101447337329e-05
"ZFAND1" 703.623263720419 0.521025482826949 0.0946565510933208 5.50437847997732 3.70472894486388e-08 6.4389912191476e-05
