"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"UPP1" 2.9327272361008 5.2917584565993e-37 1.54375193152055 3.17551173352508e-09 1.38897530458025 7.04660300234889e-07 0.952129687402873 0.00637097446342524 0.698580029544232 1.2199852414719 0.253549657858641 5.99931127345856
"FLYWCH1" 1.12758652471291 3.68903629606458e-36 0.666436082978191 2.74684954494719e-11 0.461150441734718 0.000140079527368913 0.426760611376749 0.0014144275863414 0.216578895140609 3.85501882595245 0.21018171623614 5.99931127345856
"IFRD1" 1.66427095272875 3.68903629606458e-36 0.565139824282421 0.00159390693800392 1.09913112844633 6.80174086448107e-14 1.15356354158263 6.93269090394258e-16 0.748971416421681 8.57707657704915e-05 0.404592125160951 2.43720975362974
"MAGED1" -1.03385817712356 2.73076843108038e-35 -0.669475876779147 5.33352989391861e-13 -0.364382300344412 0.00263238143140375 -0.19281475704529 0.969080076731362 -0.0995109544276053 5.99937842076246 -0.0933038026176848 5.99931127345856
"KLHDC8A" -1.91853914470165 6.83146330147445e-34 -1.03941375488361 3.08507958230243e-08 -0.879125389818035 1.93685150280922e-06 -0.447510301244087 0.259646589980904 -0.148729192949561 NA -0.298781108294526 5.99931127345856
"GADD45A" 1.84740456099586 8.53121848798671e-34 0.902164781639704 4.63598992704534e-07 0.945239779356151 3.42896539373026e-07 1.00026366848684 1.05961808045132e-08 0.593911684723874 0.114868269566325 0.406351983762965 4.05830287427785
"HEXIM1" -0.738113192136934 4.76282572740126e-33 -0.545898373164405 8.88453029406863e-16 -0.19221481897253 0.197868600111426 -0.314013128656815 7.39680193233657e-05 -0.131000609222749 4.50464588762911 -0.183012519434066 2.61044297002758
"VEGFA" 2.04937535305887 1.99993561194231e-32 0.904559913564952 2.0542694811547e-05 1.14481543949391 2.70290527111465e-08 1.5635583770151 8.80090867983889e-17 0.72568210398468 0.054661231468513 0.837876273030421 0.00469002309762883
"LDHA" -0.710792511052553 5.79075532295381e-32 -0.48857534569093 2.38145525691326e-13 -0.222217165361623 0.0429414181963092 -0.301064796639199 0.000112321770088417 -0.107270222003741 5.99937842076246 -0.193794574635457 1.51863148545026
"SRXN1" 1.44430204601962 2.8207731006541e-31 0.641145183103571 3.0286161629282e-05 0.80315686291605 5.5149039905196e-08 0.240603178613237 1.79877912732048 0.100470105523725 5.99937842076246 0.140133073089512 5.99931127345856
"KIF20A" -1.70330007820451 1.88493700112539e-30 -1.09853727165518 6.03869951331203e-11 -0.604762806549332 0.00872756082154902 -0.540969229097855 0.0302169185500478 -0.285726056312693 5.40489744995699 -0.255243172785162 5.99931127345856
"ZNF207" -0.715084371529058 1.83702891871045e-29 -0.423161917421111 1.11317138463383e-08 -0.291922454107948 0.000828550027347854 -0.384022700739652 1.13749053640588e-07 -0.153407107711826 3.06374889319363 -0.230615593027826 0.301764491224398
"CCNB1IP1" 1.16232618155236 2.65747389202065e-29 0.550692956009647 1.06034155586772e-05 0.611633225542716 1.93685150280922e-06 0.46532556466473 0.00167525897461833 0.293389595236355 1.7691632968958 0.171935969428375 5.99931127345856
"UCHL1" 0.874948378751081 6.69098175311351e-29 0.35726240639149 0.000571341692164618 0.517685972359592 2.60723896566269e-08 0.231940851459278 0.272729618044906 0.12636463698259 5.99937842076246 0.105576214476688 5.99931127345856
