"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"SPAG5" -1.11008425364516 9.10250949546578e-24 -0.63733485334006 1.16824209242111e-06 -0.472749400305097 0.00317692145547174 NA NA NA NA NA NA
"SEL1L3" 1.04067533353312 9.10250949546578e-24 0.416861878418829 0.00345596893081476 0.623813455114296 5.51471180282746e-07 NA NA NA NA NA NA
"C6orf48" 1.35839899057322 1.23416789034087e-23 0.817320196242405 1.27119071345995e-07 NA NA NA NA NA NA NA NA
"SRSF3" -0.859249797372583 1.98506839345444e-23 -0.535767070140985 7.21296961364907e-08 NA NA NA NA NA NA NA NA
"DDIT3" 3.13800628370671 2.31074334003157e-23 1.25187058629624 0.0038613682451308 1.88613569741046 6.08961565594513e-07 2.54403834018587 5.89420285429112e-14 NA NA 1.53920637022071 0.00280627684946223
"DNAJA1" -0.825766752724413 2.01527849142727e-22 -0.487425130648433 1.07371853950177e-06 NA NA -0.528730214286729 3.70375910875796e-08 NA NA NA NA
"HMGN3" -0.945321226351214 4.73886618986474e-22 -0.592524497656976 2.13048531978914e-07 NA NA NA NA NA NA NA NA
"SLC7A11" 1.96384400304949 9.85280393235691e-22 NA NA 1.6898044185059 3.85481131428011e-14 2.16828558129507 4.99820493050181e-25 NA NA 1.25853412076855 4.54340274147947e-06
"TRIB3" 2.73510526277962 2.09300741611621e-21 NA NA 1.70165597973377 7.04660300234889e-07 2.12812543924734 8.01764896419021e-12 NA NA NA NA
"OSGIN1" 1.96550893156869 2.21891792057661e-21 NA NA 1.30676122029012 8.54060345857404e-08 NA NA NA NA NA NA
"CSF1" 1.76215054782406 2.44506597405648e-21 0.80975166819011 0.000745482490532182 0.952398879633947 7.48094642275311e-05 NA NA NA NA NA NA
"ANLN" -1.25549268648318 2.71911431219121e-21 -0.856802607747348 1.47132987180764e-08 NA NA -0.530697169343599 0.00734970623312612 NA NA NA NA
"SLC12A8" 1.0888202943395 3.95584976930318e-21 NA NA 0.704015109160813 4.948474916311e-07 NA NA NA NA NA NA
"ZFAND1" 0.946460591814348 5.95675373224731e-21 0.425435108987399 0.0013688640256031 0.521025482826949 6.4389912191476e-05 0.464504526217761 0.000680460588747171 NA NA NA NA
"SLC7A5" 1.66214684391366 7.02972643262058e-21 0.726357962405735 0.00256762715476527 0.93578888150793 2.22191230280938e-05 0.891293179982644 6.12583402971243e-05 NA NA NA NA
"TRIM16L" 1.09769182397539 7.23485562713382e-21 NA NA 0.783428902258666 1.07267458588321e-08 NA NA NA NA NA NA
"BRSK1" 1.03228275084012 8.19530223065446e-21 0.612813548432084 1.81755200577309e-06 NA NA NA NA NA NA NA NA
"GPSM1" 0.835537159336981 9.20846478068608e-21 0.562567046317001 3.08507958230243e-08 NA NA NA NA NA NA NA NA
"LONP1" 1.08342161472255 1.02722196931206e-20 NA NA 0.696644976341488 4.948474916311e-07 0.612756300595617 1.85219084994746e-05 NA NA NA NA
"EID1" -0.79973333593943 1.79949328736069e-20 -0.461510760870323 1.1810400796241e-05 NA NA NA NA NA NA NA NA
"IK" -0.539521372416642 1.83222735167176e-20 -0.280675676248422 0.000185084818423883 -0.258845696168221 0.00137483051246762 NA NA NA NA NA NA
"TGFBR2" -0.854166219962208 3.16624274314497e-20 -0.521000493954101 2.10278453520721e-06 NA NA NA NA NA NA NA NA
"STARD13" -1.22712432402853 3.25415560983368e-20 -0.915129184499658 2.69397229474482e-09 NA NA NA NA NA NA NA NA
"SLC22A15" 1.70474514740322 3.25415560983368e-20 1.17356247105527 1.56855454022034e-08 NA NA NA NA NA NA NA NA
"KIF21B" 2.64088865138901 3.56008606724908e-20 NA NA 1.66334695599259 2.09400588842265e-06 1.93695413656832 2.21506127209111e-07 NA NA NA NA
"CCNB1" -1.28063614091051 5.46867996468525e-20 -0.85352801697831 1.04415229529715e-07 NA NA NA NA NA NA NA NA
"BUB1" -1.22033870045862 1.03412513411079e-19 -0.806795406333775 2.02097969670438e-07 NA NA NA NA NA NA NA NA
"DHX9" -0.847739018216983 1.06290416222845e-19 -0.615151457830054 5.41008821159347e-09 NA NA NA NA NA NA NA NA
