"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"SLC7A11" 2061.26158363552 2.16828558129507 0.190846987225253 11.3613822927993 6.51062254852392e-30 4.99820493050181e-25
"CHAC1" 890.733143824184 2.99979881034325 0.294905873499218 10.1720551535614 2.64272900977186e-24 1.01441153040093e-19
"VEGFA" 1137.48288721213 1.5635583770151 0.165483241156751 9.44843940743249 3.43919838993314e-21 8.80090867983889e-17
"STC2" 3034.07454048742 1.75452163127609 0.190289822252291 9.22025997244298 2.96380756303451e-20 5.68828766535399e-16
"IFRD1" 1309.78522604067 1.15356354158263 0.125728829531333 9.17501217407857 4.51523440402669e-20 6.93269090394258e-16
"TUBE1" 240.929996111439 1.43479487371855 0.160028364674115 8.96587849685521 3.07817200053652e-19 3.93852107468648e-15
"CEBPB" 5887.77901740006 0.968652754704319 0.109358850854658 8.85756157031763 8.17836442875171e-19 8.96932910278955e-15
"SLC1A5" 10947.9264814368 0.880578171372937 0.0999366567253195 8.81136311967336 1.2363318027051e-18 1.18641490617088e-14
"DDIT3" 915.160285151463 2.54403834018587 0.295255798103251 8.61638740552769 6.90996817619123e-18 5.89420285429112e-14
"INHBE" 144.628931388201 4.18017235255975 0.50330941688732 8.30537282296786 9.95065020920688e-17 7.63911416560813e-13
"NUPR1" 249.216682159709 2.32854506736904 0.28144783644419 8.27345165195745 1.30135585912187e-16 9.08228084588961e-13
"ADM2" 365.149024637954 2.91548039423722 0.35828316763815 8.13736356484858 4.03978227916407e-16 2.58445071309521e-12
"SLC1A4" 420.023293603819 1.90956966804085 0.237683159140647 8.0340974722188 9.42702318461163e-16 5.56701976832796e-12
"TRIB3" 2613.68504876728 2.12812543924734 0.266678970385464 7.98010220367697 1.46212173373275e-15 8.01764896419021e-12
"SLC7A1" 3472.93319214698 0.932308933868338 0.116998524735241 7.96855290250953 1.60543140809711e-15 8.21659794664103e-12
"GDF15" 4021.14099672264 3.16315920377486 0.403292762235929 7.84333243730367 4.38744449892943e-15 2.10515071364258e-11
"KCNG1" 908.411738857853 1.46626201127674 0.188080358218561 7.79593374430332 6.39339284087956e-15 2.88718099055485e-11
"PSPH" 681.80388913487 1.04630074686376 0.135225506160863 7.7374511404608 1.01429641060288e-14 4.32597419122127e-11
"CEBPG" 2840.44653274298 1.06987671570244 0.139071160847129 7.69301636072832 1.43706129014467e-14 5.80648396023193e-11
"GARS" 4925.39787061828 1.09002572152466 0.141881683283324 7.68263877549286 1.55844570745285e-14 5.98119998462173e-11
"SESN2" 1101.5888589577 1.99125865709669 0.259399817936395 7.67640730412904 1.63612348152998e-14 5.98119998462173e-11
"CTH" 647.308951896805 1.65114383737237 0.222001485802094 7.4375350750774 1.02581351841181e-13 3.57962290038521e-10
"GADD45A" 1940.1017196496 1.00026366848684 0.143514569446696 6.96977089046251 3.17457546572623e-12 1.05961808045132e-08
"YARS" 4807.3540639304 0.69618567920267 0.100281379547042 6.9423225163759 3.85705387973773e-12 1.23377510978111e-08
"MTHFD2" 5583.34426269391 1.02414607950645 0.14794887129248 6.92229734880385 4.44377243456515e-12 1.36459363920627e-08
"CARS" 1951.07423937547 0.913460728255776 0.133952645007559 6.81928100937631 9.14972717476436e-12 2.701632904641e-08
"DNAJA1" 6222.50818546045 -0.528730214286729 0.0781788723120601 -6.76308315341568 1.35085652006282e-11 3.70375910875796e-08
"EIF2S2" 5747.61248317323 0.494764778940304 0.0731116963229856 6.76724524014025 1.31257488637229e-11 3.70375910875796e-08
"RNF41" 1436.59702320532 0.710254964969329 0.105236991537985 6.74909986107845 1.48765177997369e-11 3.93817334995103e-08
"UHRF1BP1" 1230.48150849836 0.90701043991712 0.135535934083441 6.69202928397374 2.20096806098677e-11 5.63227726806515e-08
"ZNF207" 2863.80776675171 -0.384022700739652 0.0583305756792627 -6.58355752995213 4.59322738421026e-11 1.13749053640588e-07
"AARS" 5375.02508386137 1.06644061860142 0.164287238331139 6.49131745980104 8.50889649523041e-11 2.04133744980887e-07
"KIF21B" 116.852155352463 1.93695413656832 0.299173137268964 6.47435847432702 9.52156076318962e-11 2.21506127209111e-07
"JDP2" 1125.40744837003 1.0708961589162 0.166118482485026 6.44658043401479 1.14401914620867e-10 2.58312793689529e-07
"PCK2" 1529.1197679293 2.15425590623508 0.339503511166262 6.34531259731243 2.21974257471735e-10 4.86884678460145e-07
"MID1IP1" 913.611893159874 0.584613190972726 0.0930544925633391 6.28248217650318 3.33209483146635e-10 7.105692228102e-07
"GRPEL2" 865.395008105336 0.6786251431419 0.110911240626677 6.11863269500451 9.43816711852763e-10 1.95829213429558e-06
"SHMT2" 6927.70867798921 0.656388608215742 0.10981906490643 5.97700052149424 2.27283471691034e-09 4.59172424255808e-06
"SCN4A" 71.004691498983 2.538356620565 0.426591648450059 5.95031953810546 2.67619497203243e-09 5.26798687187e-06
"CALCB" 1522.85401393385 0.918932974931669 0.155653462940082 5.9037104448194 3.5541574354732e-09 6.82131665803194e-06
"LMO4" 2295.46536917948 0.640172429653461 0.108687485547383 5.8900288881407 3.86128114930487e-09 7.05787032933654e-06
"XBP1" 3591.61971869879 0.812549292583031 0.137866392073346 5.89374451861151 3.77540743413328e-09 7.05787032933654e-06
"SARS" 4499.21962717913 0.75044870234778 0.127754893181116 5.87412883891564 4.2507269503547e-09 7.58903041811001e-06
"ANKRD11" 5792.99286878643 0.595347462539455 0.101418157243801 5.87022559587915 4.35202537483851e-09 7.5932951824171e-06
"PYCR1" 1819.60184144037 0.969294529465521 0.165445961982423 5.85867746695747 4.66567846468892e-09 7.84181494089587e-06
"ZFP36L1" 3615.73631185168 0.793622214921973 0.135488122385553 5.85750397118644 4.69875585881477e-09 7.84181494089587e-06
"TSPYL1" 1890.16947775887 -0.316887913663661 0.0542425206362443 -5.8420573001897 5.15600640754233e-09 8.42184280653243e-06
"SLC3A2" 11260.7912677902 0.698628724367764 0.120308433180435 5.80698049088528 6.36095449968471e-09 1.01735516029332e-05
"G3BP2" 4704.1642093782 -0.30885337925636 0.0532272702802972 -5.80254026986401 6.53176998841301e-09 1.02335506532748e-05
"ATF4" 8532.9247071104 0.856802148536564 0.148613922073316 5.76528858523681 8.15182315471896e-09 1.25163092717555e-05
"GRB10" 544.409001120409 1.36241322281693 0.236617258175263 5.75787765154386 8.51780531184138e-09 1.28218022311777e-05
"CBS" 4390.0179292849 0.712138264346126 0.123874380123666 5.74887449394446 8.98394723436044e-09 1.32634159458048e-05
"GOT1" 2264.5891815498 0.72833214230241 0.126901643062931 5.73934367375547 9.50441698518054e-09 1.37670583387228e-05
"TARS" 7709.25442503159 0.52698053502454 0.0919507578155898 5.73111682321767 9.97715184480354e-09 1.4184184206029e-05
"GPT2" 2168.79496856793 1.17992853403909 0.20775307920107 5.67947555134485 1.35108359511603e-08 1.85219084994746e-05
"LONP1" 3473.47083706314 0.612756300595617 0.10784813618549 5.68165869405223 1.33394659919349e-08 1.85219084994746e-05
"HKDC1" 1888.25444802531 1.65897161115168 0.29763070782385 5.57392623658149 2.49061225284158e-08 3.35446145001137e-05
"AKNA" 1716.51774126823 1.15876498753025 0.208218712873896 5.56513375544704 2.61951404824813e-08 3.46724299110361e-05
"EPRS" 6801.94510726379 0.506090039881708 0.091109958782338 5.55471703253383 2.78061833860529e-08 3.61810287889369e-05
"LONRF1" 191.023689442539 0.867950299769801 0.15778936086525 5.50068962197661 3.78308650261629e-08 4.84045918009754e-05
"CDC42EP1" 2549.36970090222 0.767257426656437 0.140178375257439 5.47343643587937 4.41391252011091e-08 5.4654203898212e-05
"R3HDM2" 960.101564968422 0.457415107688378 0.0835468725521518 5.47495188886753 4.37630493747695e-08 5.4654203898212e-05
"EIF4EBP1" 2473.2327515557 0.867111997214119 0.158756487467362 5.46189961145611 4.71066454791171e-08 5.74028122766955e-05
"ALAS1" 1327.87829631148 0.740705958174303 0.135913152812782 5.44984751545433 5.04130247534492e-08 5.95416601588045e-05
"NFKBIL1" 389.5726495357 0.598462556111746 0.109809245310474 5.45001975398024 5.0364225684973e-08 5.95416601588045e-05
"SLC7A5" 29484.1388733725 0.891293179982644 0.163778285805615 5.4420717349582 5.26644582468439e-08 6.12583402971243e-05
"HEXIM1" 2947.37362196725 -0.314013128656815 0.0580892282690815 -5.4057032261169 6.45546085015696e-08 7.39680193233657e-05
"GTPBP2" 1119.94310147186 1.17297747083574 0.217638507225818 5.38956770925966 7.06273668563473e-08 7.97362199053203e-05
"CEP120" 361.979933209066 0.623398267770338 0.116199254709425 5.3649076263806 8.09906571790452e-08 8.95132332759609e-05
"PHGDH" 10349.974840928 0.619270415022099 0.115459884473499 5.36351147280281 8.16194650165073e-08 8.95132332759609e-05
"LDHA" 14196.5483302086 -0.301064796639199 0.0566117589955018 -5.31806115869179 1.04878819178432e-07 0.000112321770088417
"MTHFD1L" 1281.96385369598 0.543882500513681 0.102286277731529 5.31725772582331 1.05342808992654e-07 0.000112321770088417
"TOX2" 155.442185801616 1.25991906840451 0.239805562074615 5.25391928988071 1.48896150185882e-07 0.000156585718490002
"ASNS" 4956.24019603352 1.53725143063114 0.294817088357105 5.21425484254529 1.845576020106e-07 0.000191466041977754
"TIMM44" 1309.75758568169 0.561656390968385 0.108304845485596 5.18588423675911 2.14992330513491e-07 0.000220066149513609
"ACSS2" 1842.59767497756 0.959153656287897 0.186775325970031 5.13533386332731 2.81643587284333e-07 0.000284497081523924
"SLC4A5" 274.80643507567 0.923560620286279 0.181355387148171 5.09254582843858 3.53287281765076e-07 0.000352232008066297
"APLN" 30.7405743221237 -2.13713599964911 0.420522742772471 -5.0820937425623 3.73297093131037e-07 0.000367410485123971
"LGR4" 3773.67039928696 -0.514944584097275 0.101436763869351 -5.0765084024222 3.84433805602153e-07 0.000373582066532624
"PYCR2" 1400.33058833473 0.42724280335882 0.0842882261036391 5.06883135532465 4.00265676752096e-07 0.000384104950053231
"RHBDD1" 493.504863668965 0.604661324165212 0.12015890999515 5.03218050321542 4.84932348507866e-07 0.000459608103641344
"DOLK" 682.072256403009 -0.363326195805904 0.073005556660821 -4.97669235636258 6.46799976000249e-07 0.000605546758018769
"FUBP1" 3021.06533434854 -0.293006360332094 0.0590416642101163 -4.9627049686362 6.95181404390687e-07 0.00064300092066353
"MYC" 2429.05402736026 1.0359938379683 0.209562333444843 4.94360709264088 7.66901903576203e-07 0.000680460588747171
"PPHLN1" 1439.99791852525 -0.276744865141794 0.055980570891906 -4.94358776147829 7.66977989241545e-07 0.000680460588747171
"ZFAND1" 703.623263720419 0.464504526217761 0.093981043272431 4.94253426056637 7.71135485489174e-07 0.000680460588747171
"ZNF672" 949.838469593442 -0.320582403301193 0.0647861995835843 -4.94831314943225 7.4859404396038e-07 0.000680460588747171
"CDKN2C" 257.611324633509 -0.879352768511998 0.178253318977273 -4.93316350886075 8.09083692940112e-07 0.000697902866370926
"SRRT" 2565.73648777541 -0.41773325176664 0.0846644273276845 -4.93398780280942 8.05674732422394e-07 0.000697902866370926
"MSC" 253.959722485586 1.51533424301798 0.307332254029164 4.93060595870354 8.19749381141449e-07 0.000699246222113656
"C10orf47" 433.905189501872 0.77425552140714 0.157168010222 4.92629206359172 8.38047050066307e-07 0.000706998593775719
"SKP2" 1067.45021639151 -0.539107169137051 0.109912527079559 -4.90487466225597 9.34870159725395e-07 0.000780108501762159
"PGPEP1" 705.381335035704 0.569323397424046 0.117907584464453 4.82855619517577 1.37526526335079e-06 0.00113525929319828
"SFPQ" 8703.30043639548 -0.404939109400853 0.0840058319614858 -4.82036901421923 1.43292916398022e-06 0.00117027629700811
"SGPL1" 3322.14897850017 0.386761994512083 0.0804303593391007 4.80865680186091 1.51947816937453e-06 0.00122789830592508
"TSC22D3" 484.856213523445 1.24332305465098 0.25917414355864 4.79724959280001 1.60859112010613e-06 0.00128637021135987
"FAM84B" 4519.14176034683 0.734408894213846 0.153607519046227 4.78107386131814 1.74361280330884e-06 0.00137997066917546
"FLYWCH1" 746.806577688441 0.426760611376749 0.0893917318617912 4.77405015529361 1.80557383693444e-06 0.0014144275863414
"QRICH1" 1699.53871594763 -0.280271507293768 0.058851431973037 -4.76235663088326 1.91345135159494e-06 0.00148379454810044
"CCNB1IP1" 793.079569890832 0.46532556466473 0.0983205718501497 4.73273859080002 2.21510690321336e-06 0.00167525897461833
"PMAIP1" 590.132503837878 1.28820164260495 0.272346447235629 4.73001082143884 2.24507869669547e-06 0.00167525897461833
"SLC6A9" 1273.93899958273 1.8280698390579 0.386207965889467 4.73338201310196 2.20809341164208e-06 0.00167525897461833
"UBAP2L" 4052.74896505769 -0.315983107543365 0.0668071621449566 -4.72977892486665 2.2476445797276e-06 0.00167525897461833
"FHL2" 4140.27425499014 0.760984165206668 0.162017653765802 4.69692127690404 2.64112184476977e-06 0.00194960503868245
"ALDH1L2" 519.285506097747 2.08582410730601 0.444878784605133 4.68852231098715 2.75184917205395e-06 0.00201199486608173
"HERPUD1" 1263.04016935691 0.815217179396287 0.174595260090409 4.66918276575291 3.02400265777038e-06 0.00219011966072672
"SAR1A" 2746.48965009535 -0.23747729676078 0.0509690883752701 -4.65924159781524 3.17376528293163e-06 0.00227710243710898
"RBBP8" 1541.06663739219 0.321215177229199 0.0690493129445372 4.65196775364311 3.28782501288838e-06 0.00233709561332816
"PPP1R15A" 1440.84287495678 1.29525269107669 0.278604755903354 4.64906884621167 3.33436910669831e-06 0.00234843592955256
"MORN4" 167.336490417017 0.849324716340481 0.182812952208134 4.64586729814152 3.38650651634244e-06 0.00236347368417827
"DDX24" 3043.31481941969 -0.361455397773487 0.0781725162207786 -4.62381685083088 3.76742540661475e-06 0.00258591838390128
"VLDLR" 1089.74230914443 0.698884683577178 0.151158179458892 4.62353202505486 3.77260465021418e-06 0.00258591838390128
"RAD23A" 2154.69819555851 0.236173754805449 0.0512588173642043 4.60747568808283 4.07586842124176e-06 0.00276906565220115
"CPT1A" 1671.53867839552 -0.656808094605241 0.143092040884876 -4.59010920903471 4.43014158076926e-06 0.00298335060662856
"ZBED3" 139.134993107012 1.04315731390252 0.227390287169693 4.5875192247066 4.48544134680013e-06 0.00299432462777258
"TUBB2B" 1679.33759024805 1.01096524449124 0.220481585267117 4.58525932343256 4.53423310017421e-06 0.00300080237155495
"KLF15" 65.7245152204932 1.99677502603861 0.437711560311957 4.56185124426577 5.07045664738008e-06 0.00329880471880821
"ZNF419" 195.950944147912 0.641296104347989 0.140532566831852 4.56332733974256 5.03492190448693e-06 0.00329880471880821
"PCNXL2" 564.060472898193 0.463718811884015 0.102188305661487 4.53788531752496 5.68211449417526e-06 0.00366568008166248
"ADORA1" 1020.86870133842 -0.62844434472539 0.138759649125028 -4.52901364833474 5.92596715153612e-06 0.00377416607551111
"GTF3C1" 3001.47336304898 -0.293163472057346 0.0647416089475215 -4.52820800754241 5.9486009526748e-06 0.00377416607551111
"FSCN1" 4332.13303984577 -0.571398587579031 0.126691010919739 -4.51017466378118 6.47742707281382e-06 0.00407600062606489
"DHX29" 1385.86120090781 -0.297817175500831 0.0662246803229807 -4.49707230066439 6.88955652262382e-06 0.00426541334065993
"KLF4" 988.691713533281 0.699710819108318 0.155567471458741 4.49779643872332 6.86613890907661e-06 0.00426541334065993
"CDKN1A" 5316.03292706013 0.752864389543551 0.16823152026938 4.47516843655712 7.63510978734936e-06 0.00462187734515498
"KDM4A" 2022.53344049808 0.58931023366622 0.131633219770534 4.47691118316119 7.57307360499302e-06 0.00462187734515498
"SON" 8352.63537003455 -0.263342884406643 0.0588493377986374 -4.47486572079559 7.64593490731643e-06 0.00462187734515498
"SLC16A5" 182.704037203866 0.867174078927299 0.195131038527342 4.44406018372003 8.82768931120847e-06 0.00529454459704277
"NR1D1" 191.660089316376 1.07779986181019 0.242662981450433 4.44155039787287 8.93130224101249e-06 0.00531516335691883
"NARS" 4163.80555120815 0.317215323868064 0.0715644139297022 4.43258466672646 9.31101205429001e-06 0.00549851073390649
"C9orf91" 490.341148214795 0.78122860377074 0.176405811616058 4.42858767868182 9.48521583690799e-06 0.00555862610533913
"CAPRIN1" 9440.06702592288 -0.227732724541295 0.0514662918738046 -4.42489086059854 9.64910526574164e-06 0.00561183190341656
"UPP1" 773.436848395201 0.952129687402873 0.216600667446172 4.39578371862353 1.10373792319338e-05 0.00637097446342524
"KBTBD4" 292.359818004435 -0.523616546408513 0.11921228789408 -4.3923034752403 1.12155996535334e-05 0.00642553421941609
"ABCD3" 1460.64530376018 -0.35142033267427 0.0803929074626309 -4.37128527585124 1.23517283791028e-05 0.00702401620491648
"ANLN" 3183.92844728565 -0.530697169343599 0.121744803242718 -4.35909505135565 1.30601382008246e-05 0.00734970623312612
"KLF9" 146.061157765063 1.14841935100855 0.263552915192176 4.35745265868583 1.31584948208777e-05 0.00734970623312612
"PRPF40B" 424.74175066119 0.521436520316265 0.11968970028619 4.35656968869884 1.32116641939743e-05 0.00734970623312612
