"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"HEXIM1" 2947.37362196725 -0.545898373164405 0.058569275327457 -9.32055877612149 1.15729194920785e-20 8.88453029406863e-16
"MTRNR2L2" 19501.1384434705 1.49620087944636 0.166903650192532 8.96445870249339 3.11808572021069e-19 1.19687720370287e-14
"LDHA" 14196.5483302086 -0.48857534569093 0.0569288041943911 -8.58221690416372 9.30619482967277e-18 2.38145525691326e-13
"MAGED1" 3320.91990290195 -0.669475876779147 0.079176389739266 -8.45549890546644 2.77896568655392e-17 5.33352989391861e-13
"FLYWCH1" 746.806577688441 0.666436082978191 0.0837740718262002 7.95515925692136 1.78901233876982e-15 2.74684954494719e-11
"KIF20A" 1652.89005345274 -1.09853727165518 0.140223861107655 -7.83416790108061 4.71957757976712e-15 6.03869951331203e-11
"MTRNR2L8" 11336.9349368239 1.25912293533282 0.16167650046327 7.78791557044417 6.81236763589223e-15 7.47122090582066e-11
"DLGAP5" 1763.59970466537 -1.01588833442195 0.132553609148249 -7.66398094287851 1.8025665271441e-14 1.72978790361066e-10
"TSPYL1" 1890.16947775887 -0.414739591162455 0.0549765435782501 -7.54393718062943 4.55990856430075e-14 3.88960200534854e-10
"FUBP1" 3021.06533434854 -0.441094808001886 0.0598495323989787 -7.37006272766489 1.70547770372395e-13 1.30929523314888e-09
"STARD13" 411.34642912995 -0.915129184499658 0.126044265629746 -7.26037935900899 3.8600619046754e-13 2.69397229474482e-09
"UPP1" 773.436848395201 1.54375193152055 0.213629947636897 7.2262898933273 4.96367601957809e-13 3.17551173352508e-09
"GTSE1" 857.511043104993 -0.834839850826693 0.116265985186761 -7.18043071226439 6.94921412164282e-13 4.1037782162963e-09
"DHX9" 5897.84891481065 -0.615151457830054 0.0862479123861616 -7.13236344870365 9.86599387290721e-13 5.41008821159347e-09
"ZNF207" 2863.80776675171 -0.423161917421111 0.0602556394225611 -7.02277697948832 2.17501247486094e-12 1.11317138463383e-08
"ANLN" 3183.92844728565 -0.856802607747348 0.122845357760507 -6.97464375835613 3.06646840548681e-12 1.47132987180764e-08
"CAPRIN1" 9440.06702592288 -0.359833217790843 0.0517263310725293 -6.95648058406258 3.48878313103577e-12 1.56855454022034e-08
"SLC22A15" 191.172513709454 1.17356247105527 0.168881175108032 6.94904254606559 3.67773631939118e-12 1.56855454022034e-08
"LMNB1" 3339.97267643528 -0.914485281910575 0.13216509018333 -6.91926499381999 4.53992933727333e-12 1.83437039590775e-08
"CRYAB" 1096.36572696155 -0.990855061354831 0.145174325559317 -6.82527752436484 8.77555005566930e-12 3.08507958230243e-08
"GPSM1" 775.712726522931 0.562567046317001 0.0825583491079816 6.81417509428629 9.48061789672257e-12 3.08507958230243e-08
"KLHDC8A" 427.009657634838 -1.03941375488361 0.15259222572617 -6.81170845983245 9.64464113263752e-12 3.08507958230243e-08
"LGR4" 3773.67039928696 -0.697746216674658 0.102412311893829 -6.81310873440697 9.55118927911139e-12 3.08507958230243e-08
"ZNF618" 1059.56207462028 -0.820332188493687 0.120344753118802 -6.81651810514642 9.32734770595519e-12 3.08507958230243e-08
"ELOVL6" 1325.81337343097 -0.578280116195015 0.084969131045814 -6.80576709538451 1.00512209357079e-11 3.08652892493717e-08
"PTPDC1" 264.617053016558 0.959651463104713 0.143303125071329 6.69665412130438 2.13245533557164e-11 6.29648446583981e-08
"PGRMC1" 2859.12824202006 -0.320566971066236 0.0479969669458667 -6.67890059444354 2.40741379897361e-11 6.84507990174829e-08
"SRSF3" 4924.34777402781 -0.535767070140985 0.080374487216301 -6.66588476887134 2.63075614409501e-11 7.21296961364907e-08
"ISCU" 1102.34834050096 0.497054979630491 0.0747495870468007 6.64960168033149 2.93887262281115e-11 7.77990521562799e-08
"CCNB1" 4230.4317064535 -0.85352801697831 0.129300259398121 -6.6011315132034 4.08031377607326e-11 1.04415229529715e-07
"C6orf48" 357.078556920276 0.817320196242405 0.12445825166694 6.56702295987266 5.13311347105099e-11 1.27119071345995e-07
"CEBPB" 5887.77901740006 0.709360922888734 0.108688975713648 6.52652137193397 6.73147156899654e-11 1.61492210109958e-07
"INSIG1" 1480.29524765187 -1.33676395344378 0.205190135535951 -6.5147573978261 7.2807233162137e-11 1.69376099692644e-07
"BUB1" 1730.35448169154 -0.806795406333775 0.124434585402334 -6.48369103915255 8.95054183769039e-11 2.02097969670438e-07
"HMGN3" 1813.39721567158 -0.592524497656976 0.0915611713878901 -6.47135121444442 9.71303714896705e-11 2.13048531978914e-07
"DIRAS2" 817.352144844811 -1.11884649960667 0.1736488668823 -6.44315462400934 1.17015370704066e-10 2.49535278026421e-07
"HMGB1" 6960.82311249168 -0.475103113576405 0.0739292614076937 -6.42645556752393 1.30613576171659e-10 2.71005520072925e-07
"KPNA2" 8824.59818109274 -0.801514556740865 0.124898568713769 -6.41732379317893 1.3869073986523e-10 2.80191792090887e-07
"DNM3" 267.669419083329 -0.863331249310498 0.13556327227114 -6.36847454953542 1.90917443501965e-10 3.75813644555021e-07
"C10orf140" 114.712757406845 -1.85755502939964 0.291988564234261 -6.36173897519263 1.99482238649449e-10 3.82856286527955e-07
