"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"UPP1" 773.436848395201 2.9327272361008 0.216129258258373 13.5693207839304 6.08835940056986e-42 5.2917584565993e-37
"FLYWCH1" 746.806577688441 1.12758652471291 0.0844029909694369 13.3595564773435 1.04183045408584e-40 3.68903629606458e-36
"IFRD1" 1309.78522604067 1.66427095272875 0.124714821229462 13.3446124231432 1.2733108850147e-40 3.68903629606458e-36
"MAGED1" 3320.91990290195 -1.03385817712356 0.0784837114670398 -13.1729012020251 1.2567391187263e-39 2.73076843108038e-35
"KLHDC8A" 427.009657634838 -1.91853914470165 0.148603572182512 -12.9104510512394 3.92992274234574e-38 6.83146330147445e-34
"GADD45A" 1940.1017196496 1.84740456099586 0.14344020361632 12.8792661640203 5.88928516359707e-38 8.53121848798671e-34
"HEXIM1" 2947.37362196725 -0.738113192136934 0.0579647747504386 -12.7338231764862 3.83586222235363e-37 4.76282572740126e-33
"VEGFA" 1137.48288721213 2.04937535305887 0.162509352237391 12.6108148536902 1.84079857512294e-36 1.99993561194231e-32
"LDHA" 14196.5483302086 -0.710792511052553 0.0567843256507512 -12.5174069235979 5.99622600057346e-36 5.79075532295381e-32
"SRXN1" 1770.06388399936 1.44430204601962 0.116639382180046 12.3826277113692 3.24540142281525e-35 2.8207731006541e-31
"KIF20A" 1652.89005345274 -1.70330007820451 0.139368821987475 -12.2215288463698 2.38555697597442e-34 1.88493700112539e-30
"ZNF207" 2863.80776675171 -0.715084371529058 0.0594523002363875 -12.0278671924521 2.53628181514628e-33 1.83702891871045e-29
"CCNB1IP1" 793.079569890832 1.16232618155236 0.0969355494772152 11.9907112284495 3.97477571405362e-33 2.65747389202065e-29
"UCHL1" 8840.2899516857 0.874948378751081 0.0734768715605684 11.9078066358588 1.07775029388823e-32 6.69098175311351e-29
"SLC3A2" 11260.7912677902 1.42328338965652 0.120105393787388 11.8502870252108 2.14455003258581e-32 1.24263807088152e-28
"KCNG1" 908.411738857853 2.18915973313362 0.186384189960504 11.7454153895645 7.45552554726239e-32 4.05002786541161e-28
"TSPYL1" 1890.16947775887 -0.623532896524546 0.0539620581015366 -11.5550243719631 6.96277274908419e-31 3.55986091917295e-27
"DLGAP5" 1763.59970466537 -1.51685420102959 0.131728260007435 -11.5150249532179 1.10827455801808e-30 5.35148841581665e-27
"GTSE1" 857.511043104993 -1.31743821483145 0.114609343837754 -11.4950332208207 1.39727254333204e-30 6.3918600198025e-27
"KLF4" 988.691713533281 1.75027269051176 0.155137190165286 11.2820961153608 1.60866590873122e-29 6.99094030616414e-26
"NUPR1" 249.216682159709 2.92764799215798 0.262635505391238 11.1471904295528 7.39031085274478e-29 3.05874408608174e-25
"CEBPG" 2840.44653274298 1.5305466927 0.138187361326803 11.0758804423537 1.64257617216481e-28 6.48937048090346e-25
"FUBP1" 3021.06533434854 -0.653346956740005 0.0592434776113344 -11.0281668646509 2.79504068923732e-28 1.05623372411196e-24
"COPB2" 5268.07596377806 -0.586902629212126 0.0532643164647928 -11.0186832041685 3.10568962936869e-28 1.12472549927587e-24
"CEBPB" 5887.77901740006 1.19172094279111 0.108745174484562 10.9588397686584 6.02670390524966e-28 2.09526798651472e-24
"SEL1L3" 2147.49254734596 1.04067533353312 0.0961860102493986 10.8194043066635 2.78582119115682e-27 9.10250949546578e-24
"SPAG5" 2155.42272667062 -1.11008425364516 0.102614191093027 -10.8180383416831 2.82764688178904e-27 9.10250949546578e-24
"C6orf48" 357.078556920276 1.35839899057322 0.125932143420957 10.7867535140132 3.97587336388516e-27 1.23416789034087e-23
"SRSF3" 4924.34777402781 -0.859249797372583 0.0800065968826474 -10.7397368573609 6.62328954509856e-27 1.98506839345444e-23
"DDIT3" 915.160285151463 3.13800628370671 0.292654367232165 10.7225677627332 7.97578123716544e-27 2.31074334003157e-23
"DNAJA1" 6222.50818546045 -0.825766752724413 0.0785148310402212 -10.5173346460033 7.18781734482089e-26 2.01527849142727e-22
"HMGN3" 1813.39721567158 -0.945321226351214 0.0906050172988683 -10.4334313323179 1.74471579543089e-25 4.73886618986474e-22
"SLC7A11" 2061.26158363552 1.96384400304949 0.189546839940811 10.3607319629424 3.74088234350152e-25 9.85280393235691e-22
"TRIB3" 2613.68504876728 2.73510526277962 0.265917303162822 10.2855482898189 8.18747436006618e-25 2.09300741611621e-21
"OSGIN1" 400.319510523993 1.96550893156869 0.191250850390462 10.2771251869253 8.93530848407444e-25 2.21891792057661e-21
"CSF1" 512.681894023954 1.76215054782406 0.171665142548203 10.2650457842905 1.01272924508759e-24 2.44506597405648e-21
"ANLN" 3183.92844728565 -1.25549268648318 0.122461526889936 -10.2521397402759 1.15752254534349e-24 2.71911431219121e-21
"SLC12A8" 459.099631179375 1.0888202943395 0.106608478952152 10.2132616940177 1.72951230191818e-24 3.95584976930318e-21
"ZFAND1" 703.623263720419 0.946460591814348 0.0930552661296783 10.1709514268155 2.67284959682504e-24 5.95675373224731e-21
"SLC7A5" 29484.1388733725 1.66214684391366 0.163720596059014 10.1523380926034 3.23518175370269e-24 7.02972643262058e-21
"TRIM16L" 754.453332221525 1.09769182397539 0.108177660426315 10.147121130643 3.41282480455252e-24 7.23485562713382e-21
"BRSK1" 345.518740689742 1.03228275084012 0.101877479797656 10.1325901748884 3.96017641961764e-24 8.19530223065446e-21
"GPSM1" 775.712726522931 0.835537159336981 0.0825720494332873 10.1188860525018 4.55570879434743e-24 9.20846478068608e-21
"LONP1" 3473.47083706314 1.08342161472255 0.107206559506904 10.1059265375715 5.20016644228114e-24 1.02722196931206e-20
"EID1" 1817.81350692204 -0.79973333593943 0.0795864208269453 -10.0486154249654 9.31671935331023e-24 1.79949328736069e-20
"IK" 2576.32523673241 -0.539521372416642 0.0537121956401711 -10.0446717172205 9.69700149303938e-24 1.83222735167176e-20
"TGFBR2" 3249.41437885313 -0.854166219962208 0.0855152777069379 -9.9884633818234 1.7121520655324e-23 3.16624274314497e-20
"SLC22A15" 191.172513709454 1.70474514740322 0.17075363345511 9.98365371739736 1.79724172999165e-23 3.25415560983368e-20
"STARD13" 411.34642912995 -1.22712432402853 0.122938461820282 -9.98161442610535 1.83457159650525e-23 3.25415560983368e-20
"KIF21B" 116.852155352463 2.64088865138901 0.264865176508933 9.97069031949524 2.04800385846627e-23 3.56008606724908e-20
"CCNB1" 4230.4317064535 -1.28063614091051 0.12901842081826 -9.92599454239531 3.20887613556708e-23 5.46867996468525e-20
"BUB1" 1730.35448169154 -1.22033870045862 0.123762943654546 -9.86029149294397 6.18695142134488e-23 1.03412513411079e-19
"DHX9" 5897.84891481065 -0.847739018216983 0.086015781586812 -9.85562187052149 6.48142121106673e-23 1.06290416222845e-19
"LGR4" 3773.67039928696 -0.990763106513438 0.101503648037715 -9.76086205438953 1.65740327411275e-22 2.66768264764414e-19
"FTH1" 78751.9619051675 0.946528728634727 0.0979125828289506 9.66707956512877 4.16082074882274e-22 6.57530720372141e-19
"ZNF618" 1059.56207462028 -1.15254518183567 0.119282098126513 -9.66234833171072 4.3575847327786e-22 6.76328276132473e-19
"CDKN2C" 257.611324633509 -1.73510853017463 0.17991150463043 -9.64423333426538 5.19982813513173e-22 7.92891688058087e-19
"GCLC" 1251.40808680064 1.81424022095577 0.188488284069589 9.6252147973609 6.25760474295562e-22 9.37734437652985e-19
"ELOVL6" 1325.81337343097 -0.802544372930705 0.083921369879931 -9.56305139059254 1.14334940563614e-21 1.68432808373341e-18
"LMNB1" 3339.97267643528 -1.25582258796339 0.131833929621316 -9.52579196850655 1.63788227399372e-21 2.3726362621073e-18
