"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"ABCD3","ABR","ACAA2","BLTP3A","ARHGEF2","","ABR","ABL1","ACOT2","BLTP3A","ASNS","","ACAA2","ACOT2","ABHD14B","ASNSP1","AP1G1","","BLTP3A","BLTP3A","ASNSP1","ASNSP1","CCNB1IP1","","ARHGEF2","ASNS","AP1G1","CCNB1IP1","AP1G1","","","","","","","","BST2","ACLY","PCAT1","FHL2","","ACTB","ACAA2","GCLC","EHD1","","ACOT13","ACTL6A","","ZNF672","","ABHD8","ACADSB","ABRACL","CAND1","","ABHD14B","ACAD11","ABLIM1","CLIP4","","ABCD4","ABR","ABI2","BLTP3A","ARHGEF2"
"ABCD4","ACAD11","ACAD11","BMP7","ASNS","","ACAD11","ABR","ACSL3","BMP7","BAG3","","ACAD11","ACSL3","ABI2","BEX2","ARHGEF17","","BMP7","BMP7","BEX2","BEX2","CDKN2C","","ASNS","BAG3","ARHGEF17","CDKN2C","ARHGEF17","","","","","","","","C19orf25","ACP6","PLIN4","GBF1","","ACTG1","ACACA","GRB10","EIF2S2","","ACP1","ACTMAP","","","","ABI2","ACAP2","ABRAXAS1","CAPRIN1","","ABHD8","ACADSB","ABRACL","COPB2","","ABHD14B","ACAD11","ABLIM1","BMP7","ASNS"
"ABHD14B","ACAP2","ACAD9","BRD8","BAG3","","ACAP2","ACAD11","ACTR1A","CALCB","BEX2","","ACAD9","ACTR1A","ABLIM1","BLTP3A","ARHGEF2","","BRD8","CALCB","BLTP3A","BLTP3A","CEBPG","","BAG3","BEX2","ARHGEF2","CEBPG","ARHGEF2","","","","","","","","CARD8","ACSF3","RGS20","GOT1","","ACTN1","ACAD9","HSPA9","ERCC6L","","ACSF2","ACTR3","","","","ABL1","ACAT2","ABTB1","CBS","","ABI2","ACAP2","ABRAXAS1","COPS4","","ABHD8","ACADSB","ABRACL","BRD8","ATF4"
"ABHD8","ACAT2","ACAP2","CALCB","BEX2","","ACAT2","ACADSB","ACTR2","CARS1","BLTP3A","","ACAP2","ACTR2","ABRACL","BMP7","ASNS","","CALCB","CARS1","BMP7","BMP7","CHAC1","","BEX2","BLTP3A","ASNS","CHAC1","ASNS","","","","","","","","CDH24","ACSL1","SFXN3","GPATCH1","","ACTRT3","ACBD7","LMO4","FEN1","","ACTG1","ADAMTS10","","","","ABR","ACD","ACAA1","CCDC92","","ABL1","ACAT2","ABTB1","CREM","","ABI2","ACAP2","ABRAXAS1","CALCB","BAG3"
"ABI2","ACD","ACAT2","CARS1","BLTP3A","","ACD","ACAP2","ADAMTS15","CCNB1IP1","CALCB","","ACAT2","ADAMTS15","ABRAXAS1","BRD8","BAG3","","CARS1","CCNB1IP1","BRD8","BRD8","CTH","","BLTP3A","CALCB","BAG3","CTH","ATF4","","","","","","","","CEBPZ","ACSS2","SPATS2","GTF3C1","","ACVR1","ACIN1","MGST1","FHL2","","ACTL6A","ADAMTS9","","","","ABTB2","ACOT13","ACAA2","CDKN1A","","ABR","ACD","ACAA1","CSF1","","ABL1","ACAT2","ABTB1","CARS1","BEX2"
"ABL1","ACOT13","ACOT2","CCNB1IP1","CALCB","","ACOT13","ACAT2","ADAMTSL3","CCT2","CAND1","","ACOT2","ADAMTSL3","ABTB1","CALCB","BEX2","","CCNB1IP1","CCT2","CALCB","CALCB","DDIT3","","CALCB","CAND1","BEX2","DDIT3","BAG3","","","","","","","","CEP63","ACTR8","TRIM16L","HES6","","ADAM15","ACLY","NARS1","GBF1","","ACTMAP","ADCY3","","","","ACAA2","ACOT2","ACACA","CEBPB","","ABTB2","ACOT13","ACAA2","CTR9","","ABR","ACD","ACAA1","CBLC","BLTP3A"
"ABR","ACOT2","ACSL3","CCT2","CAND1","","ACOT2","ACD","ADCY7","CDKN2C","CAPRIN1","","ACSL3","ADCY7","ACAA1","CARS1","BLTP3A","","CCT2","CDKN2C","CARS1","CARS1","DHX29","","CAND1","CAPRIN1","BLTP3A","DHX29","BEX2","","","","","","","","CHTOP","ACVR2B","TXNIP","JMJD6","","ADAM17","ACP6","NQO1","GCLC","","ACTN1","ADGRA3","","","","ACAD11","ACP1","ACAD11","CEP120","","ACAA2","ACOT2","ACACA","DGKD","","ABTB2","ACOT13","ACAA2","CCNB1IP1","CALCB"
"ABTB2","ACP1","ACTB","CDKN2C","CAPRIN1","","ACP1","ACOT13","ADCY9","CEBPG","CARS1","","ACTB","ADCY9","ACAA2","CBLC","CALCB","","CDKN2C","CEBPG","CBLC","CBLC","DNAJA1","","CAPRIN1","CARS1","CALCB","DNAJA1","BLTP3A","","","","","","","","CHURC1","ADAMTSL3","UNC5B","LEMD3","","ADAMTS8","ACSF3","PAQR5","GOT1","","ACTR3","ADGRE5","","","","ACAD9","ACSF2","ACAD9","CNPPD1","","ACAD11","ACP1","ACAD11","DLGAP5","","ACAA2","ACOT2","ACACA","CCT2","CAND1"
"ACAA2","ACSF2","ACTR1A","CEBPG","CARS1","","ACSF2","ACOT2","ADGRG1","CHAC1","CBS","","ACTR1A","ADGRG1","ACACA","CCNB1IP1","CAND1","","CEBPG","CHAC1","CCNB1IP1","CCNB1IP1","EHD1","","CARS1","CBS","CAND1","EHD1","CALCB","","","","","","","","CNDP2","ADAP1","XBP1","LMO4","","ADAMTSL5","ACSL1","PCAT1","GPATCH1","","ACTRT3","ADGRL1","","","","ACAP2","ACSL3","ACAP2","CPT1A","","ACAD9","ACSF2","ACAD9","DNAJC8","","ACAD11","ACP1","ACAD11","CDKN2C","CAPRIN1"
"ACAD11","ACSL3","ACTR2","CGN","CBS","","ACSL3","ACP1","ADM2","CLIP4","CCNB1IP1","","ACTR2","ADM2","ACAD11","CCT2","CAPRIN1","","CGN","CLIP4","CCT2","CCT2","EID2","","CBS","CCNB1IP1","CAPRIN1","EID2","CAND1","","","","","","","","CNKSR1","ADD1","ZFP36L1","MGAT2","","ADGRL2","ACSS2","PLIN4","GRB10","","ACVR1","ADH5","","","","ACAT1","ACTL6A","ACAT2","CSTF2T","","ACAP2","ACTL6A","ACAP2","DOCK6","","ACAD9","ACSF2","ACAD9","CEBPG","CARS1"
